category,subject,body,label
Technical Support,Final Reminder: Software License,We detected software license. Please verify your account within 24 hours to avoid service interruption. This message relates to your technical support services. Please follow the provided verification steps.,1
PayPal,Final Reminder: Security Check,We detected security check. Please verify your account within 24 hours to avoid service interruption. This message relates to your paypal services. Please follow the provided verification steps.,1
Microsoft 365,Notice: Storage Limit,"As part of a routine security review regarding storage limit, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
Microsoft 365,Immediate: Account Validation,We require confirmation following account validation. Delayed action may result in temporary account restrictions. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Parcel Delivery,Attention: Delivery Failed,We detected delivery failed. Please verify your account within 24 hours to avoid service interruption. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
PayPal,Important: Payment On Hold,We detected payment on hold. Please verify your account within 24 hours to avoid service interruption. This message relates to your paypal services. Please follow the provided verification steps.,1
Banking,Attention: Identity Verification,We require confirmation following identity verification. Delayed action may result in temporary account restrictions. This message relates to your banking services. Please follow the provided verification steps.,1
Amazon,Attention: Order Issue,"As part of a routine security review regarding order issue, please complete the requested verification. This message relates to your amazon services. Please follow the provided verification steps.",1
Technical Support,Final Reminder: Remote Assistance,"As part of a routine security review regarding remote assistance, please complete the requested verification. This message relates to your technical support services. Please follow the provided verification steps.",1
Banking,Attention: Account Review,"As part of a routine security review regarding account review, please complete the requested verification. This message relates to your banking services. Please follow the provided verification steps.",1
Parcel Delivery,Security Alert: Delivery Failed,We detected delivery failed. Please verify your account within 24 hours to avoid service interruption. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Parcel Delivery,Final Reminder: Customs Fee,We require confirmation following customs fee. Delayed action may result in temporary account restrictions. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
HMRC/Tax,Critical: Payment Reminder,Our monitoring systems identified payment reminder. Confirm your identity to protect your account. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Password Reset,Critical: Security Reset,"As part of a routine security review regarding security reset, please complete the requested verification. This message relates to your password reset services. Please follow the provided verification steps.",1
HMRC/Tax,Important: Rebate Notice,We require confirmation following rebate notice. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Technical Support,Notice: Critical Patch,"As part of a routine security review regarding critical patch, please complete the requested verification. This message relates to your technical support services. Please follow the provided verification steps.",1
PayPal,Critical: Security Check,We detected security check. Please verify your account within 24 hours to avoid service interruption. This message relates to your paypal services. Please follow the provided verification steps.,1
Amazon,Security Alert: Gift Card,We require confirmation following gift card. Delayed action may result in temporary account restrictions. This message relates to your amazon services. Please follow the provided verification steps.,1
Parcel Delivery,Action Required: Customs Fee,Our monitoring systems identified customs fee. Confirm your identity to protect your account. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Amazon,Action Required: Prime Renewal,We detected prime renewal. Please verify your account within 24 hours to avoid service interruption. This message relates to your amazon services. Please follow the provided verification steps.,1
Banking,Notice: Account Review,We require confirmation following account review. Delayed action may result in temporary account restrictions. This message relates to your banking services. Please follow the provided verification steps.,1
University,Immediate: Account Suspension,Your account has been flagged due to account suspension. Review your information promptly. This message relates to your university services. Please follow the provided verification steps.,1
Banking,Important: Security Update,Our monitoring systems identified security update. Confirm your identity to protect your account. This message relates to your banking services. Please follow the provided verification steps.,1
PayPal,Important: Billing Verification,Your account has been flagged due to billing verification. Review your information promptly. This message relates to your paypal services. Please follow the provided verification steps.,1
Parcel Delivery,Action Required: Signature Required,Our monitoring systems identified signature required. Confirm your identity to protect your account. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Microsoft 365,Reminder: Security Alert,We detected security alert. Please verify your account within 24 hours to avoid service interruption. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Technical Support,Final Reminder: Critical Patch,We require confirmation following critical patch. Delayed action may result in temporary account restrictions. This message relates to your technical support services. Please follow the provided verification steps.,1
Parcel Delivery,Action Required: Tracking Update,"As part of a routine security review regarding tracking update, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
University,Reminder: Account Suspension,We detected account suspension. Please verify your account within 24 hours to avoid service interruption. This message relates to your university services. Please follow the provided verification steps.,1
PayPal,Urgent: Transaction Review,Our monitoring systems identified transaction review. Confirm your identity to protect your account. This message relates to your paypal services. Please follow the provided verification steps.,1
University,Urgent: Account Suspension,We require confirmation following account suspension. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
Technical Support,Immediate: Support Verification,We detected support verification. Please verify your account within 24 hours to avoid service interruption. This message relates to your technical support services. Please follow the provided verification steps.,1
PayPal,Reminder: Login Alert,We detected login alert. Please verify your account within 24 hours to avoid service interruption. This message relates to your paypal services. Please follow the provided verification steps.,1
HMRC/Tax,Final Reminder: Tax Account,Our monitoring systems identified tax account. Confirm your identity to protect your account. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Microsoft 365,Security Alert: License Renewal,We detected license renewal. Please verify your account within 24 hours to avoid service interruption. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Technical Support,Immediate: System Update,Your account has been flagged due to system update. Review your information promptly. This message relates to your technical support services. Please follow the provided verification steps.,1
Password Reset,Notice: Reset Required,We require confirmation following reset required. Delayed action may result in temporary account restrictions. This message relates to your password reset services. Please follow the provided verification steps.,1
PayPal,Urgent: Transaction Review,We detected transaction review. Please verify your account within 24 hours to avoid service interruption. This message relates to your paypal services. Please follow the provided verification steps.,1
Technical Support,Important: Helpdesk Ticket,"As part of a routine security review regarding helpdesk ticket, please complete the requested verification. This message relates to your technical support services. Please follow the provided verification steps.",1
Invoice/Payment,Security Alert: Purchase Order,We detected purchase order. Please verify your account within 24 hours to avoid service interruption. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Amazon,Attention: Security Review,Your account has been flagged due to security review. Review your information promptly. This message relates to your amazon services. Please follow the provided verification steps.,1
Invoice/Payment,Action Required: Purchase Order,"As part of a routine security review regarding purchase order, please complete the requested verification. This message relates to your invoice/payment services. Please follow the provided verification steps.",1
Technical Support,Important: Service Interruption,"As part of a routine security review regarding service interruption, please complete the requested verification. This message relates to your technical support services. Please follow the provided verification steps.",1
Password Reset,Security Alert: Account Recovery,Our monitoring systems identified account recovery. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
Password Reset,Important: Password Policy,Our monitoring systems identified password policy. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
Invoice/Payment,Immediate: Wire Transfer,Our monitoring systems identified wire transfer. Confirm your identity to protect your account. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
PayPal,Security Alert: Security Check,Your account has been flagged due to security check. Review your information promptly. This message relates to your paypal services. Please follow the provided verification steps.,1
Banking,Action Required: Fraud Alert,"As part of a routine security review regarding fraud alert, please complete the requested verification. This message relates to your banking services. Please follow the provided verification steps.",1
Invoice/Payment,Attention: Invoice Correction,Your account has been flagged due to invoice correction. Review your information promptly. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Parcel Delivery,Urgent: Address Confirmation,Our monitoring systems identified address confirmation. Confirm your identity to protect your account. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
University,Important: Password Reset,"As part of a routine security review regarding password reset, please complete the requested verification. This message relates to your university services. Please follow the provided verification steps.",1
University,Final Reminder: Exam Notice,We require confirmation following exam notice. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
PayPal,Final Reminder: Wallet Update,"As part of a routine security review regarding wallet update, please complete the requested verification. This message relates to your paypal services. Please follow the provided verification steps.",1
Password Reset,Attention: Password Policy,Our monitoring systems identified password policy. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
University,Notice: Tuition Notice,Our monitoring systems identified tuition notice. Confirm your identity to protect your account. This message relates to your university services. Please follow the provided verification steps.,1
Parcel Delivery,Action Required: Parcel Release,We detected parcel release. Please verify your account within 24 hours to avoid service interruption. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Amazon,Notice: Security Review,We require confirmation following security review. Delayed action may result in temporary account restrictions. This message relates to your amazon services. Please follow the provided verification steps.,1
HMRC/Tax,Notice: Tax Refund,"As part of a routine security review regarding tax refund, please complete the requested verification. This message relates to your hmrc/tax services. Please follow the provided verification steps.",1
University,Security Alert: Password Reset,We require confirmation following password reset. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
HMRC/Tax,Notice: Payment Reminder,We require confirmation following payment reminder. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
University,Attention: Course Registration,We require confirmation following course registration. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
Password Reset,Attention: Account Recovery,"As part of a routine security review regarding account recovery, please complete the requested verification. This message relates to your password reset services. Please follow the provided verification steps.",1
Parcel Delivery,Important: Customs Fee,Our monitoring systems identified customs fee. Confirm your identity to protect your account. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Password Reset,Notice: Login Problem,We detected login problem. Please verify your account within 24 hours to avoid service interruption. This message relates to your password reset services. Please follow the provided verification steps.,1
Password Reset,Notice: Password Policy,Your account has been flagged due to password policy. Review your information promptly. This message relates to your password reset services. Please follow the provided verification steps.,1
Password Reset,Urgent: Login Problem,We require confirmation following login problem. Delayed action may result in temporary account restrictions. This message relates to your password reset services. Please follow the provided verification steps.,1
Microsoft 365,Reminder: Storage Limit,"As part of a routine security review regarding storage limit, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
University,Notice: Password Reset,Your account has been flagged due to password reset. Review your information promptly. This message relates to your university services. Please follow the provided verification steps.,1
University,Attention: Student Portal,Your account has been flagged due to student portal. Review your information promptly. This message relates to your university services. Please follow the provided verification steps.,1
Invoice/Payment,Urgent: Payment Failure,Your account has been flagged due to payment failure. Review your information promptly. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Password Reset,Important: Authentication Issue,Your account has been flagged due to authentication issue. Review your information promptly. This message relates to your password reset services. Please follow the provided verification steps.,1
University,Reminder: Exam Notice,Our monitoring systems identified exam notice. Confirm your identity to protect your account. This message relates to your university services. Please follow the provided verification steps.,1
Amazon,Urgent: Payment Declined,We require confirmation following payment declined. Delayed action may result in temporary account restrictions. This message relates to your amazon services. Please follow the provided verification steps.,1
Password Reset,Final Reminder: Security Confirmation,Our monitoring systems identified security confirmation. Confirm your identity to protect your account. This message relates to your password reset services. Please follow the provided verification steps.,1
Invoice/Payment,Reminder: Billing Issue,We require confirmation following billing issue. Delayed action may result in temporary account restrictions. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Amazon,Important: Gift Card,Your account has been flagged due to gift card. Review your information promptly. This message relates to your amazon services. Please follow the provided verification steps.,1
HMRC/Tax,Urgent: Refund Processing,Our monitoring systems identified refund processing. Confirm your identity to protect your account. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
HMRC/Tax,Notice: Tax Account,"As part of a routine security review regarding tax account, please complete the requested verification. This message relates to your hmrc/tax services. Please follow the provided verification steps.",1
Technical Support,Final Reminder: System Update,Our monitoring systems identified system update. Confirm your identity to protect your account. This message relates to your technical support services. Please follow the provided verification steps.,1
HMRC/Tax,Immediate: Compliance Review,We detected compliance review. Please verify your account within 24 hours to avoid service interruption. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Technical Support,Final Reminder: Service Interruption,Our monitoring systems identified service interruption. Confirm your identity to protect your account. This message relates to your technical support services. Please follow the provided verification steps.,1
Banking,Important: Account Locked,Your account has been flagged due to account locked. Review your information promptly. This message relates to your banking services. Please follow the provided verification steps.,1
Password Reset,Security Alert: Security Reset,We require confirmation following security reset. Delayed action may result in temporary account restrictions. This message relates to your password reset services. Please follow the provided verification steps.,1
Technical Support,Immediate: Virus Detected,We detected virus detected. Please verify your account within 24 hours to avoid service interruption. This message relates to your technical support services. Please follow the provided verification steps.,1
Microsoft 365,Immediate: Password Expiry,We require confirmation following password expiry. Delayed action may result in temporary account restrictions. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Banking,Urgent: Card Restricted,Your account has been flagged due to card restricted. Review your information promptly. This message relates to your banking services. Please follow the provided verification steps.,1
University,Notice: Email Quota,We detected email quota. Please verify your account within 24 hours to avoid service interruption. This message relates to your university services. Please follow the provided verification steps.,1
Microsoft 365,Critical: Mailbox Suspension,We detected mailbox suspension. Please verify your account within 24 hours to avoid service interruption. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
University,Reminder: Library Account,We require confirmation following library account. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
Invoice/Payment,Attention: Finance Review,We require confirmation following finance review. Delayed action may result in temporary account restrictions. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Banking,Notice: New Device Login,"As part of a routine security review regarding new device login, please complete the requested verification. This message relates to your banking services. Please follow the provided verification steps.",1
Invoice/Payment,Reminder: Payment Failure,"As part of a routine security review regarding payment failure, please complete the requested verification. This message relates to your invoice/payment services. Please follow the provided verification steps.",1
HMRC/Tax,Security Alert: Compliance Review,We detected compliance review. Please verify your account within 24 hours to avoid service interruption. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Microsoft 365,Immediate: Account Validation,"As part of a routine security review regarding account validation, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
Parcel Delivery,Immediate: Courier Notice,Our monitoring systems identified courier notice. Confirm your identity to protect your account. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Amazon,Security Alert: Security Review,Your account has been flagged due to security review. Review your information promptly. This message relates to your amazon services. Please follow the provided verification steps.,1
University,Security Alert: Course Registration,"As part of a routine security review regarding course registration, please complete the requested verification. This message relates to your university services. Please follow the provided verification steps.",1
Banking,Attention: Security Verification,We detected security verification. Please verify your account within 24 hours to avoid service interruption. This message relates to your banking services. Please follow the provided verification steps.,1
Banking,Immediate: Account Review,"As part of a routine security review regarding account review, please complete the requested verification. This message relates to your banking services. Please follow the provided verification steps.",1
HMRC/Tax,Action Required: Tax Calculation,We require confirmation following tax calculation. Delayed action may result in temporary account restrictions. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Microsoft 365,Action Required: Storage Limit,We detected storage limit. Please verify your account within 24 hours to avoid service interruption. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Technical Support,Notice: Remote Assistance,We require confirmation following remote assistance. Delayed action may result in temporary account restrictions. This message relates to your technical support services. Please follow the provided verification steps.,1
HMRC/Tax,Important: Compliance Review,Our monitoring systems identified compliance review. Confirm your identity to protect your account. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Amazon,Immediate: Security Review,We require confirmation following security review. Delayed action may result in temporary account restrictions. This message relates to your amazon services. Please follow the provided verification steps.,1
HMRC/Tax,Urgent: Rebate Notice,"As part of a routine security review regarding rebate notice, please complete the requested verification. This message relates to your hmrc/tax services. Please follow the provided verification steps.",1
Password Reset,Reminder: Verification Code,We detected verification code. Please verify your account within 24 hours to avoid service interruption. This message relates to your password reset services. Please follow the provided verification steps.,1
University,Action Required: Student Portal,Our monitoring systems identified student portal. Confirm your identity to protect your account. This message relates to your university services. Please follow the provided verification steps.,1
Invoice/Payment,Important: Finance Review,Your account has been flagged due to finance review. Review your information promptly. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Microsoft 365,Immediate: Mfa Verification,We detected MFA verification. Please verify your account within 24 hours to avoid service interruption. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Banking,Critical: Fraud Alert,We detected fraud alert. Please verify your account within 24 hours to avoid service interruption. This message relates to your banking services. Please follow the provided verification steps.,1
Technical Support,Urgent: Virus Detected,Your account has been flagged due to virus detected. Review your information promptly. This message relates to your technical support services. Please follow the provided verification steps.,1
HMRC/Tax,Reminder: Tax Refund,Your account has been flagged due to tax refund. Review your information promptly. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
Banking,Action Required: Identity Verification,We require confirmation following identity verification. Delayed action may result in temporary account restrictions. This message relates to your banking services. Please follow the provided verification steps.,1
Microsoft 365,Security Alert: Mailbox Suspension,We require confirmation following mailbox suspension. Delayed action may result in temporary account restrictions. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Microsoft 365,Immediate: Security Alert,Our monitoring systems identified security alert. Confirm your identity to protect your account. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
HMRC/Tax,Immediate: Document Request,"As part of a routine security review regarding document request, please complete the requested verification. This message relates to your hmrc/tax services. Please follow the provided verification steps.",1
Parcel Delivery,Immediate: Customs Fee,We require confirmation following customs fee. Delayed action may result in temporary account restrictions. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Microsoft 365,Immediate: Account Validation,"As part of a routine security review regarding account validation, please complete the requested verification. This message relates to your microsoft 365 services. Please follow the provided verification steps.",1
Amazon,Attention: Prime Renewal,Our monitoring systems identified prime renewal. Confirm your identity to protect your account. This message relates to your amazon services. Please follow the provided verification steps.,1
Parcel Delivery,Action Required: Address Confirmation,Our monitoring systems identified address confirmation. Confirm your identity to protect your account. This message relates to your parcel delivery services. Please follow the provided verification steps.,1
Amazon,Important: Purchase Alert,We require confirmation following purchase alert. Delayed action may result in temporary account restrictions. This message relates to your amazon services. Please follow the provided verification steps.,1
Banking,Attention: Card Restricted,We require confirmation following card restricted. Delayed action may result in temporary account restrictions. This message relates to your banking services. Please follow the provided verification steps.,1
HMRC/Tax,Urgent: Tax Refund,We detected tax refund. Please verify your account within 24 hours to avoid service interruption. This message relates to your hmrc/tax services. Please follow the provided verification steps.,1
University,Important: Password Reset,We require confirmation following password reset. Delayed action may result in temporary account restrictions. This message relates to your university services. Please follow the provided verification steps.,1
Password Reset,Critical: Authentication Issue,We require confirmation following authentication issue. Delayed action may result in temporary account restrictions. This message relates to your password reset services. Please follow the provided verification steps.,1
Password Reset,Security Alert: Account Recovery,We detected account recovery. Please verify your account within 24 hours to avoid service interruption. This message relates to your password reset services. Please follow the provided verification steps.,1
Microsoft 365,Urgent: Security Alert,Your account has been flagged due to security alert. Review your information promptly. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
Invoice/Payment,Final Reminder: Payment Failure,Your account has been flagged due to payment failure. Review your information promptly. This message relates to your invoice/payment services. Please follow the provided verification steps.,1
Parcel Delivery,Critical: Shipping Delay,"As part of a routine security review regarding shipping delay, please complete the requested verification. This message relates to your parcel delivery services. Please follow the provided verification steps.",1
Microsoft 365,Attention: New Device,We require confirmation following new device. Delayed action may result in temporary account restrictions. This message relates to your microsoft 365 services. Please follow the provided verification steps.,1
